kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd
kmer116	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26194	304.285809291802	NA	NA	26194	0.47401042522551
kmer1161	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25811	304.285809291802	NA	NA	25811	0.47401042522551
kmer1162	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22445	304.284727619696	NA	NA	22445	0.47401042522551	NA	NA
kmer1163	intactk_noN	NA	54	414	0.155	0.845	0.042	0.958	47	256	7	158	3858412	531875.512452113	218116	446.2088530592	3856722	39172.8695248322	218116	536.893182378814
kmer1164	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23570	304.284727619696	NA	NA	23570	0.47401042522551	NA	NA
kmer1165	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23063	304.284727619696	NA	NA	23063	0.47401042522551	NA	NA
kmer1166	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22877	304.284727619696	NA	NA	22877	0.47401042522551	NA	NA
kmer1167	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23846	304.284727619696	NA	NA	23846	0.47401042522551	NA	NA
kmer1168	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24978	304.284727619696	NA	NA	24978	0.47401042522551	NA	NA
kmer1169	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25352	304.284727619696	NA	NA	25352	0.47401042522551	NA	NA
kmer117	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24260	304.284727619696	NA	NA	24260	0.47401042522551
kmer1170	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24023	304.284727619696	NA	NA	24023	0.47401042522551	NA	NA
kmer1171	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24780	304.284727619696	NA	NA	24780	0.47401042522551	NA	NA
kmer1172	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24748	304.284727619696	NA	NA	24748	0.47401042522551
kmer1173	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24709	304.284727619696	NA	NA	24709	0.47401042522551
kmer1174	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24652	304.284727619696	NA	NA	24652	0.47401042522551
kmer1175	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22853	304.284727619696	NA	NA	22853	0.47401042522551	NA	NA
kmer1176	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	21709	0.212755238195914	NA	NA	21709	0.47401042522551
kmer1177	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25697	304.285809291802	NA	NA	25697	0.47401042522551
kmer1179	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23042	304.284727619696	NA	NA	23042	0.47401042522551	NA	NA
kmer118	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	22545	304.284727619696	NA	NA	22545	0.47401042522551
kmer1180	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24326	304.284727619696	NA	NA	24326	0.47401042522551	NA	NA
kmer1181	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25825	304.285809291802	NA	NA	25825	0.47401042522551	NA	NA
kmer1182	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	26035	304.285809291802	NA	NA	26035	0.47401042522551	NA	NA
kmer1183	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25035	304.284727619696	NA	NA	25035	0.47401042522551	NA	NA
kmer1184	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25534	304.284727619696	NA	NA	25534	0.47401042522551
kmer1185	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26619	304.285809291802	NA	NA	26619	0.47401042522551
kmer1186	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25149	304.284727619696	NA	NA	25149	0.47401042522551	NA	NA
kmer1187	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25879	304.285809291802	NA	NA	25879	0.47401042522551	NA	NA
kmer1188	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22928	304.284727619696	NA	NA	22928	0.47401042522551	NA	NA
kmer1189	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23295	304.284727619696	NA	NA	23295	0.47401042522551	NA	NA
kmer119	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23972	304.284727619696	NA	NA	23972	0.47401042522551	NA	NA
kmer1190	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	21646	0.212755238195914	NA	NA	21646	0.47401042522551
kmer1191	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24014	304.284727619696	NA	NA	24014	0.47401042522551	NA	NA
kmer1192	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25912	304.285809291802	NA	NA	25912	0.47401042522551	NA	NA
kmer1193	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25182	304.284727619696	NA	NA	25182	0.47401042522551	NA	NA
kmer1194	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22111	304.284727619696	NA	NA	22111	0.47401042522551	NA	NA
kmer1195	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22700	304.284727619696	NA	NA	22700	0.47401042522551	NA	NA
kmer1196	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	21748	0.212755238195914	NA	NA	21748	0.47401042522551
kmer1197	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25454	304.284727619696	NA	NA	25454	0.47401042522551
kmer1199	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083597	55332.5551871579	991876	22884.4489797564	3062630	9128.92215550601	991879.5	16857.4496380117
kmer12	intactk_noN	NA	299	169	0.723	0.277	0.485	0.515	219	84	80	85	991742	22884.2701895776	3083732	55332.5551871579	991744.5	16857.4496380117	3062765	9128.92215550601
